date,open,high,low,close
2018-10-15,259.06,263.28,254.5367,259.59
2018-10-12,261,261.99,252.01,258.78
2018-10-11,257.53,262.25,249.03,252.23
2018-10-10,264.61,265.51,247.77,256.88
2018-10-09,255.25,266.77,253.3,262.8
2018-10-08,264.52,267.7599,249,250.56
2018-10-05,274.65,274.88,260,261.95
2018-10-04,293.95,294,277.67,281.83
2018-10-03,303.33,304.6,291.57,294.8
2018-10-02,313.95,316.84,299.15,301.02
2018-10-01,305.77,311.44,301.05,310.7
2018-09-28,270.26,278,260.555,264.77
2018-09-27,312.9,314.96,306.91,307.52
2018-09-26,301.91,313.89,301.1093,309.58
2018-09-25,300,304.6,296.5,300.99
2018-09-24,298.48,302.9993,293.58,299.68
2018-09-21,297.7,300.58,295.37,299.1
2018-09-20,303.56,305.98,293.33,298.33
2018-09-19,280.51,300,280.5,299.02
2018-09-18,296.69,302.64,275.5,284.96
2018-09-17,290.04,300.87,288.13,294.84
2018-09-14,288.76,297.3256,286.52,295.2
2018-09-13,288.02,295,285.18,289.46
2018-09-12,281.44,292.5,278.6463,290.54
2018-09-11,279.47,282,273.55,279.44
2018-09-10,273.26,286.03,271,285.5
2018-09-07,260.1,268.35,252.2548,263.24
2018-09-06,284.8,291.17,278.88,280.95
2018-09-05,285.05,286.78,277.18,280.74
2018-09-04,296.94,298.19,288,288.95
2018-08-31,302,305.3082,298.6,301.66
2018-08-30,302.26,304.6,297.72,303.15
2018-08-29,310.27,311.85,303.69,305.01
2018-08-28,318.41,318.88,311.19,311.86
2018-08-27,318,322.435,308.81,319.27
2018-08-24,320.7,323.85,319.4,322.82
2018-08-23,319.14,327.32,318.1,320.1
2018-08-22,320.87,323.88,314.67,321.64
2018-08-21,310.61,324.79,309,321.9
2018-08-20,291.704,308.5,288.2,308.44
2018-08-17,323.5,326.77,303.53,305.5
2018-08-16,339.91,342.28,333.82,335.45
2018-08-15,341.906,344.49,332.14,338.69
2018-08-14,358.45,359.1995,347.1,347.64
2018-08-13,361.13,363.19,349.02,356.41
2018-08-10,354,360,346,355.49
2018-08-09,365.55,367.01,345.73,352.45
2018-08-08,369.09,382.64,367.12,370.34
2018-08-07,343.84,387.46,339.1501,379.57
2018-08-06,345.46,354.98,341.82,341.99
2018-08-03,347.81,355,342.53,348.17
2018-08-02,328.44,349.99,323.16,349.54
2018-08-01,297.99,303,293,300.84
2018-07-31,292.25,298.32,289.07,298.14
2018-07-30,295.9,296.1,286.13,290.17
2018-07-27,307.25,307.6933,295.3404,297.18
2018-07-26,304.85,310.7,303.6411,306.65
2018-07-25,296.74,309.62,294.5025,308.74
2018-07-24,304.4209,307.7171,292.5452,297.43
2018-07-23,301.84,305.5,292.8601,303.2
2018-07-20,321.23,323.24,311.7093,313.58
2018-07-19,316.33,323.54,314.01,320.23
2018-07-18,325,325.5,316.25,323.85
2018-07-17,308.81,324.74,308.5,322.69
2018-07-16,311.71,315.16,306.25,310.1
2018-07-13,315.58,319.5849,309.25,318.87
2018-07-12,321.43,323.23,312.77,316.71
2018-07-11,315.8,321.94,315.07,318.96
2018-07-10,324.56,327.6771,319.2,322.47
2018-07-09,311.99,318.52,308,318.51
2018-07-06,304.955,312.07,302,308.9
2018-07-05,313.76,314.39,296.22,309.16
2018-07-03,331.75,332.49,309.69,310.86
2018-07-02,360.07,364.78,329.85,335.07
2018-06-29,353.33,353.86,342.41,342.95
2018-06-28,348.66,357.02,346.11,349.93
2018-06-27,345,350.79,339.5,344.5
2018-06-26,336.054,343.55,325.799,342
2018-06-25,330.12,338.47,327.5,333.01
2018-06-22,351.54,352.25,332,333.63
2018-06-21,362,366.2139,346.27,347.51
2018-06-20,358.04,364.38,352,362.22
2018-06-19,365.16,370,346.25,352.55
2018-06-18,355.4,373.73,354.5,370.83
2018-06-15,353.84,364.67,351.25,358.17
2018-06-14,347.63,358.75,346.6,357.72
2018-06-13,346.706,347.2,339.8,344.78
2018-06-12,344.7,354.97,338,342.77
2018-06-11,322.51,334.66,322.5,332.1
